time,title,bvid,view,like,favorite,coin
2025-07-15 17:07:01,华流RAP炸场 ｜ R.E.D组合周洛汐Alyce《场上称霸+中国话》  711 RED出道一周年特别舞台 4K直拍,BV1PKuEzeENT,535492,13502,2681,5325
2025-07-15 17:25:28,华流RAP炸场 ｜ R.E.D组合周洛汐Alyce《场上称霸+中国话》  711 RED出道一周年特别舞台 4K直拍,BV1PKuEzeENT,540812,13604,2694,5354
2025-07-15 17:25:28,【R.E.D胡静怡|中国舞国宴】一现役女团唯一民舞金奖的含金量无须多言,BV1tnu7zNEqm,557985,17498,3574,5504
2025-07-15 17:35:29,华流RAP炸场 ｜ R.E.D组合周洛汐Alyce《场上称霸+中国话》  711 RED出道一周年特别舞台 4K直拍,BV1PKuEzeENT,543814,13664,2703,5367
2025-07-15 17:35:29,【R.E.D胡静怡|中国舞国宴】一现役女团唯一民舞金奖的含金量无须多言,BV1tnu7zNEqm,559765,17578,3588,5518
2025-07-15 17:45:29,华流RAP炸场 ｜ R.E.D组合周洛汐Alyce《场上称霸+中国话》  711 RED出道一周年特别舞台 4K直拍,BV1PKuEzeENT,546777,13731,2715,5388
2025-07-15 17:45:29,【R.E.D胡静怡|中国舞国宴】一现役女团唯一民舞金奖的含金量无须多言,BV1tnu7zNEqm,561663,17660,3597,5524
2025-07-15 17:55:30,华流RAP炸场 ｜ R.E.D组合周洛汐Alyce《场上称霸+中国话》  711 RED出道一周年特别舞台 4K直拍,BV1PKuEzeENT,549331,13777,2732,5414
2025-07-15 17:55:30,【R.E.D胡静怡|中国舞国宴】一现役女团唯一民舞金奖的含金量无须多言,BV1tnu7zNEqm,563709,17757,3612,5542
2025-07-15 18:05:30,华流RAP炸场 ｜ R.E.D组合周洛汐Alyce《场上称霸+中国话》  711 RED出道一周年特别舞台 4K直拍,BV1PKuEzeENT,552090,13832,2755,5436
2025-07-15 18:05:30,【R.E.D胡静怡|中国舞国宴】一现役女团唯一民舞金奖的含金量无须多言,BV1tnu7zNEqm,565345,17824,3617,5552
2025-07-15 18:15:31,华流RAP炸场 ｜ R.E.D组合周洛汐Alyce《场上称霸+中国话》  711 RED出道一周年特别舞台 4K直拍,BV1PKuEzeENT,555082,13884,2761,5448
2025-07-15 18:15:31,【R.E.D胡静怡|中国舞国宴】一现役女团唯一民舞金奖的含金量无须多言,BV1tnu7zNEqm,567466,17925,3625,5559
2025-07-15 18:25:31,华流RAP炸场 ｜ R.E.D组合周洛汐Alyce《场上称霸+中国话》  711 RED出道一周年特别舞台 4K直拍,BV1PKuEzeENT,558034,13919,2770,5462
2025-07-15 18:25:31,【R.E.D胡静怡|中国舞国宴】一现役女团唯一民舞金奖的含金量无须多言,BV1tnu7zNEqm,570169,18057,3640,5577
2025-07-15 18:35:32,华流RAP炸场 ｜ R.E.D组合周洛汐Alyce《场上称霸+中国话》  711 RED出道一周年特别舞台 4K直拍,BV1PKuEzeENT,560585,13971,2785,5478
2025-07-15 18:35:32,【R.E.D胡静怡|中国舞国宴】一现役女团唯一民舞金奖的含金量无须多言,BV1tnu7zNEqm,572263,18154,3657,5590
2025-07-15 18:45:32,华流RAP炸场 ｜ R.E.D组合周洛汐Alyce《场上称霸+中国话》  711 RED出道一周年特别舞台 4K直拍,BV1PKuEzeENT,563464,14031,2793,5485
2025-07-15 18:45:32,【R.E.D胡静怡|中国舞国宴】一现役女团唯一民舞金奖的含金量无须多言,BV1tnu7zNEqm,574700,18258,3668,5602
2025-07-15 18:55:32,华流RAP炸场 ｜ R.E.D组合周洛汐Alyce《场上称霸+中国话》  711 RED出道一周年特别舞台 4K直拍,BV1PKuEzeENT,566513,14102,2807,5492
2025-07-15 18:55:32,【R.E.D胡静怡|中国舞国宴】一现役女团唯一民舞金奖的含金量无须多言,BV1tnu7zNEqm,579656,18519,3687,5613
2025-07-15 19:05:33,华流RAP炸场 ｜ R.E.D组合周洛汐Alyce《场上称霸+中国话》  711 RED出道一周年特别舞台 4K直拍,BV1PKuEzeENT,569671,14158,2816,5508
2025-07-15 19:05:33,【R.E.D胡静怡|中国舞国宴】一现役女团唯一民舞金奖的含金量无须多言,BV1tnu7zNEqm,582845,18715,3702,5625
2025-07-15 19:15:33,华流RAP炸场 ｜ R.E.D组合周洛汐Alyce《场上称霸+中国话》  711 RED出道一周年特别舞台 4K直拍,BV1PKuEzeENT,572853,14204,2823,5520
2025-07-15 19:15:33,【R.E.D胡静怡|中国舞国宴】一现役女团唯一民舞金奖的含金量无须多言,BV1tnu7zNEqm,585731,18860,3721,5639
2025-07-15 19:25:33,华流RAP炸场 ｜ R.E.D组合周洛汐Alyce《场上称霸+中国话》  711 RED出道一周年特别舞台 4K直拍,BV1PKuEzeENT,575869,14254,2833,5542
2025-07-15 19:25:33,【R.E.D胡静怡|中国舞国宴】一现役女团唯一民舞金奖的含金量无须多言,BV1tnu7zNEqm,588776,19025,3733,5647
2025-07-15 19:35:34,华流RAP炸场 ｜ R.E.D组合周洛汐Alyce《场上称霸+中国话》  711 RED出道一周年特别舞台 4K直拍,BV1PKuEzeENT,579137,14304,2843,5555
2025-07-15 19:35:34,【R.E.D胡静怡|中国舞国宴】一现役女团唯一民舞金奖的含金量无须多言,BV1tnu7zNEqm,592246,19201,3756,5670
2025-07-15 19:45:34,华流RAP炸场 ｜ R.E.D组合周洛汐Alyce《场上称霸+中国话》  711 RED出道一周年特别舞台 4K直拍,BV1PKuEzeENT,582414,14388,2854,5577
2025-07-15 19:45:34,【R.E.D胡静怡|中国舞国宴】一现役女团唯一民舞金奖的含金量无须多言,BV1tnu7zNEqm,596142,19442,3778,5694
2025-07-15 19:55:34,华流RAP炸场 ｜ R.E.D组合周洛汐Alyce《场上称霸+中国话》  711 RED出道一周年特别舞台 4K直拍,BV1PKuEzeENT,586504,14510,2870,5599
2025-07-15 19:55:34,【R.E.D胡静怡|中国舞国宴】一现役女团唯一民舞金奖的含金量无须多言,BV1tnu7zNEqm,600271,19653,3795,5707
